NAME                       INSTALLED      FIXED IN       TYPE           VULNERABILITY        SEVERITY  EPSS           RISK   
minimatch                  3.1.2          3.1.3          npm            GHSA-7r86-cg39-jmmj  High      < 0.1% (4th)   < 0.1  
minimatch                  9.0.5          9.0.7          npm            GHSA-7r86-cg39-jmmj  High      < 0.1% (4th)   < 0.1  
minimatch                  9.0.6          9.0.7          npm            GHSA-7r86-cg39-jmmj  High      < 0.1% (4th)   < 0.1  
minimatch                  10.1.1         10.2.3         npm            GHSA-23c5-xmqv-rm74  High      < 0.1% (3rd)   < 0.1  
minimatch                  3.1.2          3.1.4          npm            GHSA-23c5-xmqv-rm74  High      < 0.1% (3rd)   < 0.1  
minimatch                  9.0.5          9.0.7          npm            GHSA-23c5-xmqv-rm74  High      < 0.1% (3rd)   < 0.1  
minimatch                  9.0.6          9.0.7          npm            GHSA-23c5-xmqv-rm74  High      < 0.1% (3rd)   < 0.1  
node-forge                 1.3.3          1.4.0          npm            GHSA-2328-f5f3-gj25  High      < 0.1% (4th)   < 0.1  
netty-codec-http           4.1.107.Final  4.1.125.Final  java-archive   GHSA-fghv-69vj-qj49  Low       < 0.1% (10th)  < 0.1  
netty-codec-http           4.1.94.Final   4.1.125.Final  java-archive   GHSA-fghv-69vj-qj49  Low       < 0.1% (10th)  < 0.1  
undici                     6.23.0         6.24.0         npm            GHSA-2mjp-6q6p-2qxm  Medium    < 0.1% (3rd)   < 0.1  
tar                        7.5.7          7.5.11         npm            GHSA-9ppj-qmqm-q256  High      < 0.1% (0th)   < 0.1  
undici                     6.23.0         6.24.0         npm            GHSA-4992-7rv2-5pvq  Medium    < 0.1% (0th)   < 0.1  
tar                        7.5.7          7.5.10         npm            GHSA-qffp-2rhf-9h96  High      < 0.1% (0th)   < 0.1  
tar                        7.5.7          7.5.8          npm            GHSA-83g3-92jg-28cx  High      < 0.1% (0th)   < 0.1  
flask                      3.0.0          3.1.3          python         GHSA-68rp-wp8r-4726  Low       < 0.1% (1st)   < 0.1  
actions/download-artifact  v4             4.1.3          github-action  GHSA-cxww-7g56-2vh6  High      N/A            N/A    
netty-codec-http2          4.1.94.Final   4.1.100.Final  java-archive   GHSA-xpw8-rcwv-8f8p  High      N/A            N/A    
jackson-core               2.14.2         2.18.6         java-archive   GHSA-72hv-8253-57qq  Medium    N/A            N/A
